"id","nama","jenis_kelamin","kelas","pernyataan_satu","pernyataan_dua","pernyataan_tiga","pernyataan_empat","pernyataan_lima","pernyataan_enam","pernyataan_tujuh","pernyataan_delapan","pernyataan_sembilan","pernyataan_sepuluh","pernyataan_sebelas","pernyataan_duabelas","pernyataan_tigabelas","pernyataan_empatbelas","pernyataan_limabelas"
"867","Dr. Macey Mayert DDS","perempuan","10","SS","TS","STS","S","TS","TS","S","S","STS","TS","STS","TS","TS","TS","TS"
"868","Miss Else Wunsch DVM","perempuan","11","STS","TS","TS","S","S","TS","TS","S","TS","SS","STS","S","TS","TS","TS"
"869","Florencio Ortiz DDS","laki-laki","11","TS","STS","TS","S","SS","S","SS","TS","SS","SS","S","STS","STS","STS","S"
"870","Ms. Sadie Heller III","perempuan","10","STS","STS","TS","S","SS","SS","STS","TS","TS","TS","STS","S","TS","SS","S"
"871","Prof. Oscar Ziemann","perempuan","11","STS","TS","STS","TS","SS","SS","STS","S","TS","S","S","TS","STS","TS","SS"
"872","Dorcas Sipes","laki-laki","11","STS","STS","STS","S","STS","SS","S","STS","S","STS","S","SS","S","S","TS"
"873","Jalyn Nicolas","laki-laki","11","S","STS","TS","TS","S","TS","SS","SS","STS","TS","SS","STS","TS","S","STS"
"874","Easter Murray","laki-laki","12","S","S","TS","STS","SS","S","S","SS","S","S","SS","S","TS","SS","S"
"875","Trent Mertz","perempuan","10","TS","S","SS","TS","SS","S","S","TS","TS","STS","SS","STS","SS","TS","TS"
"876","Kayli Kohler V","perempuan","10","TS","STS","TS","TS","SS","TS","S","STS","S","S","STS","STS","SS","STS","SS"
"877","Domenic Langosh","perempuan","12","TS","S","STS","STS","SS","S","STS","TS","SS","S","S","S","SS","STS","S"
"878","Prof. Ray Leuschke","perempuan","10","S","STS","TS","TS","TS","S","S","SS","TS","S","S","S","SS","S","SS"
"879","Uriel Turner","perempuan","10","SS","S","S","SS","SS","SS","SS","SS","SS","STS","STS","TS","SS","S","STS"
"880","Hosea Swaniawski","perempuan","11","STS","S","S","SS","STS","TS","S","STS","SS","SS","S","TS","S","TS","STS"
"881","Jerod Mueller","laki-laki","11","SS","S","SS","SS","STS","STS","STS","STS","STS","STS","TS","STS","STS","TS","S"
"882","Lue Metz V","perempuan","11","S","STS","TS","SS","SS","TS","TS","S","TS","S","TS","S","TS","TS","S"
"883","Prof. Everett Wintheiser DDS","perempuan","12","STS","S","S","S","TS","STS","S","STS","TS","SS","SS","TS","S","STS","S"
"884","Dorris Koelpin","perempuan","10","SS","S","SS","S","TS","TS","STS","SS","S","SS","STS","STS","SS","SS","S"
"885","Hulda Altenwerth","laki-laki","11","S","STS","SS","SS","TS","TS","STS","SS","TS","SS","S","TS","TS","STS","STS"
"886","Evie Satterfield","laki-laki","11","SS","SS","SS","S","SS","TS","S","TS","STS","TS","TS","STS","STS","SS","TS"
"887","Dr. Nelle Koepp Jr.","laki-laki","11","SS","TS","TS","S","STS","TS","TS","SS","S","STS","SS","STS","TS","TS","S"
"888","Alberta McGlynn","laki-laki","12","TS","TS","S","TS","TS","S","S","S","S","STS","STS","S","TS","TS","SS"
"889","Prof. Aisha Denesik V","laki-laki","11","TS","TS","S","STS","SS","SS","S","TS","STS","STS","SS","TS","SS","STS","TS"
"890","Nick Sawayn","perempuan","10","SS","STS","S","TS","SS","STS","SS","SS","TS","SS","STS","SS","SS","STS","SS"
"891","Idella Trantow","laki-laki","11","TS","S","TS","TS","S","SS","S","TS","STS","TS","TS","SS","SS","TS","STS"
"892","Antonetta Maggio","perempuan","10","S","STS","TS","STS","SS","STS","TS","S","TS","STS","TS","STS","STS","TS","SS"
"893","Miss Izabella Gorczany","laki-laki","11","STS","TS","S","TS","TS","S","SS","SS","STS","TS","STS","STS","SS","SS","TS"
"894","Declan Blick","perempuan","10","TS","TS","STS","TS","STS","STS","STS","TS","SS","SS","STS","STS","TS","S","STS"
"895","Oceane Witting","laki-laki","12","S","STS","SS","TS","S","STS","SS","TS","TS","SS","SS","S","S","S","STS"
"896","Ludie Williamson","perempuan","12","STS","SS","SS","S","TS","STS","SS","STS","S","S","STS","S","SS","TS","SS"
"897","Ms. Blanca Bashirian V","perempuan","10","STS","STS","STS","SS","STS","S","SS","TS","STS","S","S","TS","SS","STS","SS"
"898","Ansel Hammes","laki-laki","11","STS","SS","STS","SS","SS","TS","SS","TS","TS","SS","TS","SS","TS","STS","STS"
"899","Dr. Cullen Macejkovic","laki-laki","10","SS","TS","S","STS","TS","TS","S","S","S","STS","S","TS","STS","SS","TS"
"900","Elinore Jenkins","perempuan","11","TS","STS","TS","SS","S","S","TS","STS","STS","STS","TS","TS","STS","TS","TS"
"901","Mr. Jarret Tillman","laki-laki","11","STS","S","S","STS","STS","S","S","TS","TS","STS","S","S","TS","SS","TS"
"902","Salvatore Rogahn","laki-laki","10","SS","SS","SS","S","TS","SS","S","S","STS","S","S","STS","SS","TS","S"
"903","Tristian Gislason","perempuan","11","TS","TS","S","SS","SS","SS","SS","SS","SS","TS","SS","S","SS","TS","S"
"904","Yvette Russel","laki-laki","12","STS","STS","S","S","TS","TS","TS","STS","STS","S","S","SS","STS","S","TS"
"905","Leonard Witting V","perempuan","10","STS","STS","STS","TS","S","S","TS","TS","STS","TS","STS","TS","TS","S","STS"
"906","Mrs. Jude Spencer II","laki-laki","11","SS","STS","SS","S","S","STS","STS","TS","TS","S","STS","SS","SS","STS","TS"
"907","Abbey Collier","laki-laki","12","S","SS","SS","TS","TS","STS","STS","STS","S","SS","TS","S","STS","S","S"
"908","Miss Leonor Murazik","laki-laki","10","STS","TS","S","SS","TS","S","STS","TS","TS","TS","SS","S","SS","TS","S"
"909","Urban Jacobs","laki-laki","11","STS","S","S","STS","STS","SS","TS","STS","S","S","SS","S","S","STS","S"
"910","Miss Rosa Labadie II","laki-laki","11","S","SS","SS","SS","SS","S","TS","STS","TS","STS","STS","STS","SS","SS","S"
"911","Theodore Bruen","perempuan","10","TS","SS","S","STS","S","STS","STS","TS","TS","SS","SS","S","S","S","TS"
"912","Ms. Cleora Howell Sr.","perempuan","12","STS","SS","SS","STS","TS","TS","S","SS","S","SS","S","S","S","TS","TS"
"913","Russel Purdy","laki-laki","12","S","STS","STS","S","S","STS","S","STS","TS","SS","STS","TS","S","SS","SS"
"914","Eliza Hermiston","laki-laki","11","S","S","SS","SS","STS","S","TS","TS","SS","S","STS","TS","SS","TS","S"
"915","Merritt West","perempuan","12","S","TS","SS","TS","TS","SS","S","SS","STS","S","S","STS","S","TS","STS"
"916","Mr. Howard Glover","laki-laki","11","S","STS","TS","STS","S","TS","S","S","TS","STS","SS","S","SS","S","S"
"917","Lenora Ryan","laki-laki","11","TS","SS","TS","S","SS","STS","S","STS","TS","STS","SS","SS","TS","S","TS"
"918","Tre Brakus","laki-laki","11","TS","S","TS","SS","SS","STS","TS","STS","STS","TS","SS","STS","TS","TS","SS"
"919","Coralie Emmerich","perempuan","11","SS","STS","S","TS","S","STS","S","TS","STS","SS","TS","S","S","SS","S"
"920","Jeffery Boyer Jr.","laki-laki","10","STS","TS","SS","S","STS","STS","SS","STS","STS","STS","TS","S","S","SS","S"
"921","Mr. Victor Russel","perempuan","10","S","S","S","SS","SS","SS","STS","S","TS","TS","STS","SS","S","S","STS"
"922","Prof. Leo Wolf","laki-laki","12","TS","S","TS","S","S","STS","TS","S","S","S","STS","S","S","STS","STS"
"923","Kylie Wisozk DVM","laki-laki","10","TS","S","TS","TS","S","S","STS","S","TS","TS","SS","STS","SS","STS","SS"
"924","Dr. Fleta Greenfelder","perempuan","12","SS","TS","SS","TS","STS","TS","S","SS","SS","TS","S","SS","S","S","S"
"925","Vernice Hessel PhD","perempuan","10","TS","TS","S","SS","S","SS","TS","SS","STS","S","SS","SS","S","S","TS"
"926","Prof. Halie Schoen PhD","perempuan","11","SS","STS","SS","STS","S","S","SS","SS","STS","S","S","TS","TS","S","STS"
"927","Darius Labadie","laki-laki","11","S","STS","SS","TS","STS","STS","STS","S","SS","SS","STS","STS","S","SS","S"
"928","Rylan Collier","perempuan","11","S","SS","STS","STS","TS","S","STS","SS","S","STS","S","S","STS","S","SS"
"929","Matt Bergstrom","laki-laki","11","S","STS","S","SS","S","SS","SS","STS","TS","TS","STS","TS","TS","S","TS"
"930","Erica Gulgowski","perempuan","12","SS","S","SS","TS","TS","TS","STS","S","SS","TS","SS","S","SS","S","TS"
"931","Kaden Nader","laki-laki","12","SS","TS","TS","SS","TS","SS","TS","SS","STS","SS","TS","STS","S","SS","SS"
"932","Antwan Stoltenberg DDS","laki-laki","11","TS","SS","S","SS","STS","TS","S","STS","SS","TS","TS","STS","S","SS","S"
"933","Mrs. Isabel Cassin","perempuan","10","S","TS","STS","S","SS","TS","TS","S","STS","SS","STS","STS","TS","SS","S"
"934","Marty Mraz","laki-laki","11","TS","SS","S","TS","TS","TS","TS","S","S","S","TS","S","S","S","S"
"935","Miss Meda Mohr","perempuan","10","TS","S","S","STS","S","SS","STS","TS","SS","SS","S","TS","TS","TS","TS"
"936","Pansy Mayert","laki-laki","11","TS","SS","TS","STS","SS","SS","STS","S","STS","TS","SS","TS","SS","TS","TS"
"937","Wiley Dietrich","perempuan","11","TS","SS","TS","TS","TS","STS","STS","STS","S","STS","SS","SS","TS","TS","TS"
"938","Dr. Marielle Adams V","laki-laki","12","S","TS","SS","TS","SS","STS","TS","TS","S","STS","TS","SS","S","STS","TS"
"939","Elda Effertz","laki-laki","10","S","SS","S","STS","SS","TS","STS","TS","STS","S","SS","S","STS","TS","STS"
"940","Willa Stark","perempuan","11","TS","S","TS","S","STS","TS","STS","TS","TS","SS","SS","STS","STS","SS","SS"
"941","Kaitlin Rowe","perempuan","10","STS","TS","SS","STS","STS","TS","SS","S","STS","S","SS","SS","SS","S","STS"
"942","Susanna Mayer","laki-laki","11","TS","SS","TS","S","S","SS","S","S","TS","TS","TS","S","SS","STS","TS"
"943","Brenden Douglas","laki-laki","10","STS","SS","S","SS","TS","STS","S","S","S","SS","SS","TS","SS","TS","TS"
"944","Ms. Kylie Crooks III","perempuan","12","S","STS","STS","STS","STS","TS","TS","TS","STS","SS","SS","TS","STS","STS","TS"
"945","Dr. Marlon McClure PhD","laki-laki","12","TS","TS","SS","S","TS","STS","TS","TS","TS","S","SS","TS","S","STS","STS"
"946","Dr. Roger Walker I","laki-laki","10","SS","STS","SS","SS","S","S","S","SS","STS","S","STS","S","S","SS","SS"
"947","Prof. Brian Quigley PhD","laki-laki","11","STS","TS","SS","SS","TS","TS","STS","SS","TS","TS","SS","SS","TS","TS","STS"
"948","Prof. Roscoe Konopelski I","perempuan","10","SS","SS","TS","SS","TS","STS","STS","S","TS","S","SS","S","S","SS","TS"
"949","Eduardo McClure","laki-laki","10","SS","TS","TS","S","STS","TS","TS","TS","STS","SS","STS","S","TS","S","TS"
"950","Hortense Hahn","laki-laki","12","TS","SS","SS","S","SS","TS","TS","STS","S","SS","S","SS","S","TS","STS"
"951","Dimitri Koelpin","perempuan","10","STS","TS","TS","TS","S","STS","S","S","SS","S","TS","SS","SS","STS","STS"
"952","Daren Kuphal","perempuan","12","STS","STS","STS","S","TS","STS","S","STS","SS","STS","SS","STS","SS","SS","TS"
"953","Dr. Joe Abshire","laki-laki","11","S","S","S","TS","S","STS","SS","S","TS","SS","STS","S","TS","STS","SS"
"954","Prof. Ransom Graham","perempuan","12","STS","S","STS","TS","S","TS","TS","TS","SS","S","S","TS","STS","TS","STS"
"955","Vella Kunze III","laki-laki","12","SS","S","SS","SS","SS","S","STS","S","STS","S","TS","TS","S","S","S"
"956","Elmer Zemlak","perempuan","12","S","SS","TS","SS","TS","TS","SS","TS","STS","TS","STS","STS","STS","TS","TS"
"957","Roma Olson","perempuan","10","S","TS","STS","S","STS","SS","SS","STS","TS","SS","TS","SS","TS","STS","TS"
"958","Martine Emmerich","perempuan","12","S","STS","STS","STS","S","S","TS","S","TS","STS","S","STS","S","TS","TS"
"959","Gunner Gorczany","perempuan","10","S","TS","S","TS","S","TS","S","SS","STS","TS","S","TS","S","STS","STS"
"960","Neva Daniel","laki-laki","10","TS","STS","SS","S","SS","SS","TS","STS","TS","SS","SS","TS","SS","TS","S"
"961","Wilber Senger III","laki-laki","12","STS","SS","SS","SS","SS","S","STS","STS","TS","SS","S","STS","S","STS","STS"
"962","Lowell Bergstrom","perempuan","10","STS","S","S","S","SS","TS","SS","S","SS","TS","STS","S","S","STS","SS"
"963","Ms. Marie Marvin","laki-laki","12","SS","S","SS","TS","S","STS","S","TS","TS","STS","S","TS","S","STS","STS"
"964","Ms. Candice Swaniawski IV","laki-laki","12","S","STS","SS","S","TS","SS","TS","S","SS","STS","SS","TS","TS","STS","S"
"965","Miss Shawna Witting","perempuan","11","STS","STS","STS","S","TS","TS","SS","SS","SS","SS","SS","S","STS","SS","SS"
"966","Betty Reichert","laki-laki","10","SS","STS","S","STS","SS","SS","SS","SS","STS","STS","S","SS","SS","TS","S"
"967","Ariel Treutel","perempuan","11","STS","SS","STS","S","STS","S","TS","S","SS","S","S","SS","SS","SS","S"
"968","Madie Jakubowski","laki-laki","11","TS","TS","STS","SS","S","SS","TS","SS","S","S","STS","SS","STS","TS","SS"
"969","Mrs. Lucinda Oberbrunner","laki-laki","11","STS","TS","S","SS","STS","S","SS","TS","S","TS","S","SS","SS","STS","STS"
"970","Mr. Cary Dickinson PhD","laki-laki","10","SS","TS","STS","STS","S","S","STS","S","S","SS","S","SS","S","SS","STS"
"971","Hillary Cartwright","laki-laki","12","S","TS","S","STS","SS","S","SS","STS","SS","TS","S","S","SS","STS","TS"
"972","Conrad Haag","laki-laki","11","S","STS","TS","TS","TS","S","TS","STS","STS","S","TS","S","SS","STS","STS"
"973","Imelda Thompson","laki-laki","10","TS","S","SS","S","SS","STS","STS","SS","TS","S","SS","SS","TS","S","TS"
"974","Orpha Gutkowski","perempuan","12","TS","TS","SS","S","TS","STS","SS","SS","TS","STS","S","TS","TS","S","TS"
"975","Dr. Maddison Jast","laki-laki","11","TS","TS","SS","SS","S","STS","SS","STS","S","S","TS","STS","S","SS","SS"
"976","Alf Fritsch","laki-laki","11","STS","S","TS","TS","SS","SS","S","TS","S","TS","TS","STS","TS","SS","SS"
"977","Dr. Megane Fadel","laki-laki","10","TS","SS","S","TS","SS","S","STS","TS","TS","SS","TS","TS","S","S","STS"
"978","Elmore Kuhlman","perempuan","11","STS","S","TS","STS","STS","S","TS","STS","SS","TS","S","STS","TS","STS","STS"
"979","Tierra Howe DDS","perempuan","10","S","S","SS","SS","S","STS","STS","STS","STS","S","S","STS","S","STS","STS"
"980","Elise Hammes","laki-laki","11","STS","TS","SS","SS","S","TS","TS","S","TS","S","SS","TS","S","TS","TS"
"981","Dr. Brielle Hills","laki-laki","10","S","TS","S","SS","STS","STS","STS","STS","STS","TS","S","STS","STS","TS","TS"
"982","Ms. Peggie Moore","perempuan","10","TS","SS","SS","STS","S","S","S","TS","SS","TS","TS","STS","S","SS","SS"
"983","Mike Hackett","perempuan","12","TS","TS","SS","S","SS","STS","SS","STS","S","STS","TS","STS","TS","SS","STS"
"984","Mittie Runolfsson","perempuan","10","STS","SS","STS","SS","TS","S","SS","S","STS","S","SS","SS","S","STS","TS"
"985","Ashlynn Beier","laki-laki","12","SS","TS","SS","TS","STS","SS","S","STS","S","TS","S","SS","S","S","SS"
"986","Jordon Gutkowski Jr.","perempuan","11","STS","STS","S","S","SS","STS","STS","STS","STS","TS","SS","STS","TS","S","S"
"987","Zachariah Herman","laki-laki","11","STS","STS","STS","TS","TS","TS","S","SS","S","S","S","S","SS","S","S"
"988","Leila Kohler","laki-laki","11","STS","SS","TS","TS","TS","STS","TS","TS","STS","TS","TS","TS","S","SS","STS"
"989","Prof. Myrtice Reilly Jr.","laki-laki","11","S","S","STS","STS","TS","SS","S","SS","TS","S","STS","SS","STS","SS","S"
"990","Maximus Schoen","laki-laki","11","TS","S","STS","STS","SS","STS","S","STS","SS","STS","S","SS","SS","STS","STS"
"991","Mr. Percy Sipes","perempuan","12","TS","S","STS","SS","S","STS","SS","SS","SS","S","TS","TS","S","STS","TS"
"992","Prof. Sienna Smitham","perempuan","10","S","S","TS","S","TS","TS","TS","STS","S","SS","SS","SS","TS","S","SS"
"993","Wilton Smitham","perempuan","12","SS","STS","SS","STS","TS","TS","STS","TS","STS","TS","TS","TS","S","STS","S"
"994","Bradford Berge","perempuan","10","TS","TS","S","TS","TS","STS","STS","SS","STS","SS","STS","S","TS","SS","SS"
"995","Amina Ledner","laki-laki","11","S","SS","SS","S","STS","TS","TS","S","TS","S","SS","STS","TS","S","TS"
"996","Dr. Stacey Ernser","perempuan","11","STS","STS","TS","SS","TS","TS","TS","STS","TS","SS","TS","S","SS","SS","SS"
"997","Prof. Owen Sanford","perempuan","12","S","SS","SS","S","TS","SS","STS","S","TS","STS","STS","SS","STS","SS","S"
"998","Esteban Steuber","perempuan","12","S","SS","SS","SS","SS","S","S","STS","TS","SS","TS","SS","SS","SS","STS"
"999","Reba Bayer","laki-laki","12","STS","TS","SS","TS","STS","SS","STS","TS","SS","TS","SS","STS","SS","SS","SS"
"1000","Brendon Lind","perempuan","12","SS","S","TS","STS","S","S","SS","STS","TS","SS","STS","SS","STS","SS","SS"
